Provincia;Localidad;Dirección;Nombre comercial;Número de Registro de Turismo de Castilla y León;Tipología;Recoger;Envío;Teléfono;Correo electrónico;Pagina web;Observaciones;Ubicación
Zamora;Benavente;C/ Federico Silva, 43;Burger King;49/549;restaurante;Sí;no;980631373;;;Hamburguesas;42.00146, -5.669292
Zamora;Zamora;C/ Diego de Losada, 2;Burguer Country;49/152;cafetería;Sí;sí;682570189;info@burguercountry.es;https://burguercountry.es;Hamburguesas, platos combinados, bocadillos, sandwitches y perritos para recoger o llevar a domicilio. Puedes llamar por teléfono al 682 570 189, al 980 04 86 98 o a través de la aplicación de UBER y reservar tu comida a la hora que la necesites.;41.506625, -5.739831
Palencia;Palencia;C/ San Marcos, 12;La Traserilla;34/117;restaurante;Sí;sí;979745421;contacto@latraserilla.es;http://www.latraserilla.es;Ofrecemos tapas tradicionales, platos especiales de restaurante y nuestro Poke Bowl, además del 'Medio Día de Menú', que cambia cada semana. Las reservas se pueden realizar por teléfono en cualquier momento. Horario. - Lunes y martes de 13.00 a 16.00 - Jueves, viernes, sábado y domingo, de 13.00 a 16.00 y de 20.00 a 23.00;42.009061, -4.535945
Segovia;Castillejo de Mesleón;Ctra. N-1 , km 107;Área de Servicio Buquerín;40/591;restaurante;Sí;no;921557228;;;Comida casera para llevar y hambuguesas. Horario de  7.00 a 22.00 horas.;41.258302, -3.595255
Zamora;Zamora;Avda. Obispo Acuña, 13;El Rincón del Duero;49/2445;bar;Sí;sí;685540442;j.martincuelgamures@gmail.com;;horario de lunes a viernes, es de 9,15 a 14:00. tardes cerrado.y sábados domingos y festivos, de 11:30 a 14:00 y horario de tarde. de 19:00 a 22:00. la comida es a base de rcciones de casquería y fritos para llevar. También tenemos bocadillos.;41.503674, -5.735913
Burgos;Aranda de Duero;C/ Isilla, 3;Isilla Café;09/2937;bar;Sí;no;643519991;isillascafe@gmail.com;;Comida casera, tortilla de patatas, asado negro, carne guisada, ensaladilla, postres caseros, platos elaborados completos o medio elaborar para toda la semana.;41.671176, -3.687052
Zamora;Zamora;Plaza del Fresco, s/n;Bocatería Papeo;49/45;cafetería;Sí;sí;980530863;Bocateriapapeo@gmail.com;;Hamburguesas, sandwich, platos combinados, raciones, bocatas, etc.;41.504154, -5.746467
Soria;Almazán;Camino Fuentelcarro, 1;Convento Espacio Grumer;42/1;salón de banquetes;no;sí;975211679;pedidos@grumer.es;https://grumer.es/;Propuesta gastronómica a domicilio. El Delivery de Grumer era uno de los más esperados y ya lo tienes aquí. Esta propuesta gastronómica a domicilio, que ha creado el chef JuanCar, te hará disfrutar de Grumer en casa. Desde Grumer Delivery te ofrecemos degustar aperitivos y productos de la despensa de Soria. Entra en nuestra tienda y compra canapés y menús recién hechos, únicos y diferentes, elaborados y presentados con nuestro estilo Grumer. Confíanos tu celebración, cuidamos la presentación para que puedas disfrutar de tus invitados sin preocuparte de nada más.;41.485301, -2.537086
Zamora;Zamora;Plaza del Mercado, 8;Hobby;49/649;restaurante;Sí;no;980530177 673710208;cafeteriahobby@hotmail.com;;Cafeteria, bar, restaurante. Damos todo tipo de servicio de restauración para recoger, desde nuestras sabrosas tapas, excelente café, raciones y plancha, menús diarios caseros o lo que les apetezca por encargo. Nos adaptamos a las nuevas medidas que nos obligan por el Covid-19, gustosamente les atendemos para que vengan a recoger a nuestro local cualquier cosa que les apetezca desde cafés, montaditos, bocadillos, raciones, menús (todos los días tendremos diferentes primeros, segundos y postre), hacemos todo tipo de encargos. HORARIO DE APERTURA Y RECOGIDA: Lunes a Domingo: 6:00 a 22:00 horas. CARTA: Rabo de Toro, Arroz con Bogavante, Cachopos, Arroz a la zamorana, Paellas, Asados. Montados: Pechuga, Lomo, Panceta, Tortilla, jamón con tomate, morcilla. Menú del día. Encargos. Raciones y tapas;41.504687, -5.742903
Zamora;Coreses;Avda. Requejo, 19;Raíces;49/284;restaurante;Sí;sí;620327293;restauranteraices@gmail.com;https://restauranteraices.net/;Menú diario 11€. Horario para hacer pedidos, hasta las 11.00 horas. Teléfonos: 980 500 300 / 620 3272 93. Lo pueden encontrar actualizado diariamente en nuestras redes: Facebook https://www.facebook.com/restauranteraices.restauranteraice/?ti=as Instagram https://www.instagram.com/restaurante_raices?r=nametag Entrega: - Punto de recogida en el Restaurante - Punto de entrega en la dirección solicitada.;41.548083, -5.622817
León;Ponferrada;Avda. Molinaseca, 19;La Marmita Verde Del Mundo Vegetal;24/1132;restaurante;Sí;sí;650035558;delmundovegetal@gmail.com;;Comida casera y saludable con ingredientes 100% vegetales y ecológicos. También vendemos sabrosos productos artesanos de elaboración propia. Horario: De 12:00 a 16:00 todos los días menos los martes. Viernes y sábado abrimos además de 20:00 a 21:30 para recoger en el local y para llevar de 20:00 a 22:30 para llevar. Martes cerramos.;42.545874, -6.581232
Salamanca;Alba de Tormes;Avda. Juan Pablo II, 39;Hotel Alameda;37/1112;restaurante;Sí;no;923300031;juanpedro@htalameda.com;http://www.hotelrestaurantealameda.com;Sábados y Domingos disponemos para llevar cena tipo informal según la carta adjunta que también puede consultarse en nuestra pagina web. Horario: de 19,30 a 21,30 De lunes a Viernes disponemos de menú del día para llevar. Horario de 13,00 a 15,00. De Lunes a Jueves también se puede solicitar de 20,00 a 21,30;40.820258, -5.51354
Segovia;El Arenal;C/ Real, 16;La Jalbeguera;40/741;restaurante;Sí;sí;617966392;Lajalbeguera@gmail.com;;Menú diario 10 €. Hamburguesas, sanwiches, paellas por encargo, Raciones. Platos combinados.;41.164473, -3.779729
Salamanca;Salamanca;Avda. Portugal, 88;El Bardo II;37/414;restaurante;Sí;sí;923259265;info@restauranteselbardo.com;http://www.restauranteselbardo.com;Horario de atención al cliente de 10:30 a 16:00 horas. La cocina tradicional de EL BARDO, ahora para recoger o llevar.;40.971964, -5.660541
Segovia;Segovia;C/ Zuloaga, 1;Alma Nostra;40/612;restaurante;Sí;sí;660736734;ana.glezmontarelo@gmail.com;;Se ofrece todos los días un menú del día además de la carta. Comida tradicional, casera y rica. Reservas llamando al número de teléfono 660736724 Horarios de reparto: De 13:00 - 16:00 De 20:00 - 23:00;40.950134, -4.118002
Palencia;Palencia;C/ Don Sancho, 1;Lucio Asador Gastro-Bar;34/477;restaurante;Sí;sí;979748190;info@lucioasadorgastrobar.com;https://lucioasadorgastrobar.com/;Comida tradicional castellana. Reservas por teléfono o en el propio restaurante. Horarios: 12.00 a 16.00 y 20.00 a 22.00 (El cuarto de lechazo con un día de antelación);42.009675, -4.532751
Valladolid;Valladolid;C/ Puente Colgante, 2  Estación de autobuses;Bus-Stop;47/13;cafetería;Sí;no;983224443;helenaredondo@hotmail.es;;Cocina casera y natural. Menú diario disponible y raciones. Amplia variedad de bocadillos y hamburguesas elaborados en el momento del pedido. Se puede reservar para la recogida en el local en el tlf 983 22 44 43;41.641302, -4.73165
León;Hospital de Órbigo;Ctra. N-120,  Km 335;Paso Honroso;24/216;cafetería;Sí;no;987361010;hotel@elpasohonroso.com;;Disponemos de menún del día con varios primeros y segundos platos a elegir. Raciones, bocadillos y hamburguesas. La reserva se puede hacer por teléfono entre las  7.00 - 15.00 horas y las 19.00 - 22.00  horas.;42.458535, -5.88265
Segovia;Segovia;Plaza Mayor, 9;Juan Bravo;40/720;restaurante;Sí;sí;921151607;reservas@juan-bravo.com;http://www.juan-bravo.com;El sabor de siempre cocinado como nunca. Cocina artesana creada y supervisada por Rubén Arnanz. Para disfrutar sin remordimientos y sin ingredientes ultraprocesados.;40.950535, -4.123653
Ávila;Piedrahíta;C/ Tejedores, 1;Hotel Rural Cayetana;05/547;restaurante;Sí;sí;920360709;info@hotelruralcayetana.com;;De Martes a Sábado, 20:30 - 22:00 Pizzas Artesanas Sábados y Domingo mediodía: Pollos asados, Tostón Asado, Costilla de Cerdo Asada. Consultad otras opciones.;40.463991, -5.328124
Segovia;Campo de San Pedro;Plaza Mayor, 9;Bayo;40/606;restaurante;Sí;no;921556068  686663202;pepeperezmolina@hotmail.es;;Menú del día de Lunes a Sábado (4 primeros y segundos a elegir, bebida, pan, postre (casero) y café Desayunos: café y tostada / cerveza y montado. Carta de Raciones.;41.429395, -3.545737
Salamanca;Salamanca;Plaza de los Basilios, 1;Vinodiario;37/4898;bar;Sí;sí;923614925;vinodiarioentucasa@gmail.com;https://www.vinodiario.com;Vinodiario es una vinoteca establecida en Salamanca desde 2003. La casa ofrece una variada selección de vinos procedentes de diversas zonas y modos de elaboración. Para acompañarlos dispones de tapas y platos preparados con máximo respeto por la calidad del producto.Todo pensado para disfrutar sin más pretensión que pasar un rato agradable.;40.961319, -5.661737
Valladolid;Valladolid;C/ Duque de la Victoria, 5;Goiko Grill;47/1183;restaurante;Sí;sí;983 53 99 71;;http://www.goiko.com;Horario Delivery de 13:00 a 23:30 de domingo a miércoles y de 13:00 a 24:00 de jueves a sábado. Horario Take-away de 13:00 a 22:00 horas de lunes a domingo.;41.651004, -4.726746
Palencia;Guardo;Avda. Asturias, 113;El Tremazal;34/383;restaurante;Sí;no;979850769;reservas@hoteltremazal.com;http://www.hoteltremazal.com;Menú para llevar con recogida en el establecimiento, la reserva se hace telefonicamente al 979850769 o al 690864477. El horario es de lunes a viernes de 13:30 a 15:30 y de 20:30 a 21:30 excepto los viernes que no habrá horario nocturno (cenas para llevar);42.797999, -4.848108
Soria;Soria;C/ Manuel Vicente Tutor, 5;La Capital;42/446;restaurante;Sí;sí;975229699;f.lopezfrias@gmail.com;http://lacapital.co;Tapas y raciones, Bowls y Hamburguesas. A domicilio con Ubereats. A recoger en el local, 975 22 96 99.;41.765363, -2.469918
Segovia;Juarros de Voltoya;C/ Doctor Nieto, 24;Casa La Abuela 2.0;40/546;restaurante;Sí;sí;646601837;javierpintosanchez@gmail.com;http://www.restauranteclabuela.com;Carta variada de diferentes productos para recogida y domicilio en Juarros de Voltoya. Pedidos: 646601837 Horario 24h.;41.029419, -4.518533
León;Ribaseca;Polígono industrial Onzonilla, C/ 18, parcela M6, nave 1;Confitería Fuensanta;24/404;cafetería;Sí;sí;987583644;administracion@fuensantaleon.com;http://www.confiteriafuensanta.com;Plato del día, bocadillos, hamburguesas, platos combinados, pulgas, tostas, bollería, sándwich, ensaladas....meriendas, cafés y chocolate. La reserva se puede hacer por teléfono (987 583644) y por email (administración@fuensantaleon.com) Nuestro horario es de 7 de la mañana a 7 de la tarde de lunes a sábado.;42.539391, -5.587154
Ávila;Ávila;C/ Alfonso Querejazu, 1;Los Fogones de Raúl - El Salón;05/794;restaurante;Sí;sí;920091384   660063783;losfogonesderaul@hotmail.com;https://losfogonesderaul.es/;Empresa con más de 10 años de experiencia en catering / eventos/ comida para llevar. Disponemos de menú del día, hamburguesas, bocatas, raciones, paellas, carta, bandejas de aperitivos, cocido, asados. Abiertos de miércoles a domingo de 12 a 21:50 horas. Pedidos lunes y martes, bajo reserva previa.;40.648782, -4.675289
León;León;C/ Padre Isla, 30;Luniega;24/1279;restaurante;Sí;no;987235225 655444863;jorgegetino@hotmail.com;http://www.restauranteluniega.com;Menú diario de lunes a sábados, 9 euros de lunes a viernes, 12.50 euros el  sábado. Encargos por telefono.;42.600653, -5.573908
Zamora;Zamora;Avda. Cardenal Cisneros, 56;Burger King;49/277;restaurante;Sí;sí;980161416;;;Hamburguesa;41.512894, -5.738926
Burgos;Burgos;C/ Don Juan de Austria, 22;Casa Azofra;09/736;restaurante;Sí;sí;947461050;azofra@hotelazofra.com;http://www.hotelazofra.com;Ofrecemos gran variedad de entrantes, segundos platos y postre para venir a recoger a nuestro asador o para envíos a domicilio. Pueden reservar a través de nuestro teléfono 947 461050 o a través de nuestra tienda on line: https://www.hotelazofra.com/azofra-en-casa/  Gracias;42.340474, -3.729288
Zamora;Benavente;Avda Las Américas, s/n;Valcarce;49/60;cafetería;Sí;no;980637962;;;Platos combinados, bocadillos, hamburguesas, sandwich, pinchos, y todo tipo de bebidas.;41.999159, -5.661286
Valladolid;Valladolid;Camino Viejo de Simancas, s/n;Don G;47/1177;restaurante;Sí;sí;722321976;Cesar.carreras@hotmail.com;https://don-g.com/;NUESTRA COMIDA ES AUTÉNTICA. Cocinamos en el momento del pedido, asegurando su frescor, para que nuestros clientes puedan disfrutar de nuestros Bocadillos, Hamburguesas y Raciones recién hechas. PREPARA LA MESA, QUE NOS SALIMOS DEL PLATÓ!!!;41.623601, -4.750519
Segovia;Chañe;C/ San Benito, 11;La Posada de Carmen;40/358;restaurante;Sí;sí;921155134;info@laposadadecarmen.com;http://www.laposadadecarmen.com;Para recoger en local preparamos Raciones, Arroces, Guisos, Asados, platos de cuchara, etc. Para enviar y recoger preparamos Asados de Lechazo, Cochinillo y Pato, además de nuestros Gallos de Corral Guisados con piñones y Almendra que criamos en nuestra propia granja.;41.338945, -4.428474
Zamora;Zamora;Plaza del Maestro Haedo, 4;AlSiguiente Taberna Urbana;49/3234;bar;Sí;no;980532494;;http://www.alsiguiente.com;Un lugar donde podrás comer unas tapas riquísimas. Toda nuestra carta en www.alsiguiente.com y todas las novedades en nuestra página de Facebook.;41.503925, -5.744743
Salamanca;Salamanca;C/ Varillas, 13;Doner Kebab Varillas;37/5067;bar;Sí;sí;653181002;sabaun26@hotmail.com;;Especialidad comida Turca. Cita previa para recoger la comida. Desde las 13 h hasta 16 h. Tardes desde las 1 9h a 22 h.;40.964105, -5.662247
Salamanca;Salamanca;C/ Gibraltar, 18;Restaurante Lis;37/1104;restaurante;Sí;sí;679364893;Info@restaurantelis.es;Http://www.restaurantelis.es;Horario recogida: 12-16 h. Horario envío: 13,30-16h. Encargos: 24h menú, 48h asados, paellas, fideuás... Atendemos necesidades y elección alimentaria: sin sal, sin gluten, alergias, comida vegana, vegetariana... Producto fresco, local. Consúltenos y le asesoraremos.;40.959713, -5.666483
Segovia;Segovia;Cervantes 16;Vipsmart;40/710;restaurante;Sí;sí;921460048;Vipsmartsegovia@gmail.com;;Vips;
Salamanca;Salamanca;C/ Serranos, 1;Corte & Cata;37/1002;restaurante;Sí;sí;923;info@corteycata.es;http://www.corteycata.es;Restaurante ubicado en un edificio antiguo en el Centro histórico de la ciudad, con gastronomía contemporánea donde impera el producto ibérico a destacar el jamón ibérico de bellota. También hay que destacar su variedad de tapas y platos modernos, con un servicio impecable. Sobre el servicio de comida a domicilio o para recoger intentamos mantener la línea que nos caracteriza llevando el restaurante a sus casas, centros de trabajo, reuniones familiares,... Pueden contactar a través de nuestra página web, de la plataforma just eat, o de las redes sociales. Nuestro servicio es de Lunes a Domingo en horarios comprendidos entre la 13:30-15:45 y las 20:00 - 22:30.;40.962464, -5.666749
León;León;C/ General Lafuente, s/n;Casa Mando;24/65;restaurante;Sí;no;987798188;info@casamando.com;https://casamando.com;Horario especial de miercoles a domingo de 13:00 a 16:00 y de 20:00 a 22:00 Hacemos nuestro famoso cocido para disfrutarlo en casa. Puedes encargarlo en el telefono 987798188 y recogerlo en Casa Mando.;42.596458, -5.570624
Valladolid;Valladolid;C/ Carmelo, 2;Carmelo;47/607;bar;Sí;sí;649445087;barcarmelo2019@gmail.com;;Auténticas hamburguesas de buey marcadas a fuego lento en parrilla volcánica. Take Away plataformas y recoger en local. Horario de comidas y cenas ( martes cerrado ).;41.64045, -4.719828
Valladolid;Valladolid;C/ Marqués del Duero, 7;Eh Voila;47/1176;restaurante;Sí;sí;983259369;;http://www.ehvoila.es;"Somos un restaurante familiar, diverso y accesible donde encontrarás platos de cocina internacional elaborados de forma casera y natural, con especial cuidado en la calidad y el detalle. Te ofrecemos opciones para personas vegetarianas, celíacas y con intolerancias alimentarias. Cocina y corazón. Nuestra cuidada cocina siempre va acompañada de un servicio profesional, atento y cercano; así Eh Voilà! es una elección perfecta para una cena improvisada con los amigos, una reunión de trabajo, una celebración familiar o una velada romántica.";41.655059, -4.721495
Palencia;Aguilar de Campoo;C/ El Puente, 39;Cortés;34/146;restaurante;Sí;no;979123055   979125080;restaurantecortesaguilar@gmail.com;;Reserva vía telefónica para recoger en el establecimiento.;42.792803, -4.264849
Segovia;San Ildefonso o la Granja;Plaza España, 8;El Europeo;40/697;restaurante;Sí;no;921488464  606100493;lamedialunalagranja@hotmail.com;;Carnes y asados. De 10:00 a 15:00 y de 19:00 a21:30 horas.;40.902001, -4.006768
Segovia;Coca;Avda. Emperador Teodosio, 7;Vacceos;40/745;restaurante;Sí;sí;682129102;restaurantevacceos@gmail.com;;Servimos comida a domicilio y para recoger el local viernes sábado y domingo de 14 a 15 horas y de 20 a 21 horas.;41.213562, -4.52604
Palencia;Guardo;Avda. Asturias, 152;Montaña Palentina;34/308;restaurante;Sí;sí;979851520;;http://www.hotelmontanapalentina.es;Menú del día, elegir el menú llamando por teléfono de 10.00 de la mañana a 14.30 de la tarde.;42.802561, -4.848922
Valladolid;Valladolid;C/ Capuchinos, 4;Lumbre;47/3076;bar;Sí;sí;685969739;;;De lunes a lunes comidas y cenas, en breve ofreceremos deliveroo.;41.643959, -4.736276
Valladolid;Valladolid;C/ Platería, 1;Gabella;47/945;restaurante;Sí;sí;983363902;gabellaplateria@gmail.com;https://gabellaplateria.eatbu.com/;Entrantes, ensaladas, pastas, pizzas, pescados, carnes, menús y tapas. Reserva en el 983363902 Horarios todos los días de 12.30 A 16.30 y de 20.00 A 23.00 horas.;41.652934, -4.726971
Salamanca;Salamanca;C/ Correhuela, 18;Goiko;37/950;restaurante;Sí;sí;923994512;;http://www.goiko.com;Horario Delivery: de 13:00 horas a 23:30 horas de domingo a miércoles y de 13:00 horas a 24:00 horas de jueves a sábado. Horario Take-away: de 13:00 horas a 22:00 horas de lunes a domingo.;40.965184, -5.661375
Palencia;Dueñas;Avda. Valoria, 3;La Casa de la Pradera;34/301;restaurante;Sí;no;979780401;;;Raciones, ensaladas y gran variedad de hamburguesas. También comida por encargo. Hamburguesas: Viernes, sábado y domingo, de 19h a 21.30h. Menú del Día: 12.30h a 16h. Menú Fin de Semana;41.871446, -4.539258
Zamora;Zamora;C/ Juan II, 3;Casa Cipri;49/104;restaurante;Sí;no;980 51 58 71;casacipri@casacipri.com;;Restaurante de comida tradicional. Horario de 13:30 a 16:00 y de 21:00 a 23:00. Reservas por teléfono: 980 51 58 71. Los domingos cerramos por descanso.;41.510271, -5.73877
Ávila;Cebreros;Avda. Camilo José Cela, 54;El Rondón;05/606;restaurante;Sí;no;918630460;info@elrondon.es;http://www.elrondon.es;¿Qué ofrecemos? -Raciones -Platos de carne y pescado -Postres -Carta de vinos ¿Cómo pedir? A través de nuestro teléfono de contacto - 622 212 006;40.463595, -4.45955
Zamora;Zamora;Avda. Príncipe de Asturias, 1;Benito;49/89;bar;Sí;no;647872527    652082392;benitogourmet2015@gmail.com;;Horario de recogida: de lunes a domingo: 08.30-15.30h y jueves, viernes, sábado y domingo 19-22h. La reserva será por vía telefónica y en la ventana del Benito y en la plataforma Cómolo.;41.507375, -5.741125
Salamanca;Salamanca;Avda. Juan Pablo II, 20;Cala Fornells;37/633;restaurante;Sí;sí;923191077;info@restaurantecalafornells.es;;Espacialidad en arroces. Abierto todos los días menos miércoles. Reserva por teléfono, web, whatsapp de 11 a 16 horas;40.954918, -5.695208
Burgos;Burgos;Avenida del Cid Campeador, 65;Teodoro;09/365;restaurante;Sí;no;947221082;bar_teodoro@hotmail.es;;Cocina casera.;42.349681, -3.696353
Segovia;Segovia;C/ Ochoa Ondategui, 2;Telepizza;40/323;restaurante;Sí;sí;921412094;tienda0299@telepizza.com;;Ofrecemos pizzas,hamburguesas,sandwich¿s y complementos mediante atención telefónica o en local para llevar,recoger y domicilio en los horarios de 12 hrs a 00:30 hrs;40.947488, -4.117193
León;León;C/ General Lafuente, s/n;Nimu Azotea;24/1506;restaurante;Sí;sí;987798192;info@nimuazotea.com;https://nimuazotea.com;Horario especial de miercoles a viernes, de 13:00 a 16:00 y de 20:00 a 22:00. Los pedidos para recoger se hacen a través de la web. Los pedidos para servicio a domicilio se hacen a traves de GLOVO.;42.596388, -5.571008
Segovia;Los Ángeles de San Rafael;C/ Rio Tajo, s/n;Premier;40/565;restaurante;Sí;no;921195800;atencionalcliente@angelesdesanrafael.com;https://www.angelesdesanrafael.com/restaurante-premier/;Horario de pedidos: Viernes, sábado y domingo: de 10:00 a 15:00 para almuerzos, de 19:00 a 21:00 para cenas. Asados por encargo mínimo 24 horas antes.;40.776098, -4.208698
Zamora;Zamora;C/ Pozo de la Nieve, 2;Bodega Arrabal del Pozo;49/581;restaurante;Sí;no;651906137;Rasil2sr@gmail.com;;Carnes a la brasa. Reservas por teléfono y WhatsApp en el nº 651906137. Horario: De Martes a domingo de 14:00 a 16:30, Viernes y sábado de 20 a 21:45 horas.;41.491985, -5.757689
Valladolid;Cabezón de Pisuerga;C/ Felipe IV, 1A;La Pavesa;47/1137;restaurante;Sí;sí (sólo Cabezón de Pisuerga);983500847;;;Pizzas artesanales realizadas en horno de leña con diversas pizzas elaboradas con productos de cercanía. Reservas en los siguientes horarios: Viernes, Sábado y Domingo de 20.00 a 23.00 horas.;41.729394, -4.647769
Palencia;Palencia;Avda. Casado del Alisal, 26;Los Blasones;34/56;restaurante;Sí;no;979749044;reservas@hotelcastillavieja.com;http://www.hotelcastillavieja.com;Cocina tradicional. Se reserva a través del correo electrónico o del teléfono. HORARIO: 13:00 A 15:30 // 20:00 A 22:00;42.010533, -4.529543
Soria;San Esteban de Gormaz;Avda. Valladolid, 131;Rivera del Duero;42/299;restaurante;Sí;sí;975350059;info@hotelrivera.es;http://www.hotelrivera.es;Menú del día de lunes a sábado. Para conocer nuestro menú, puede consultarlo a través de nuestro instagram (hotelriveradelduero) o a través de nuestro telefono 975350059.;41.572735, -3.20172
León;León;Plaza de San Marcelo, 9;Marcela Brasa y Vinos;24/1675;restaurante;Sí;sí;987799544;info@marcelabrasayvinos.com;https://marcelabrasayvinos.com/;Horario especial de lunes a domingo de 8:00 a 22:00 horas. Las reservas de comida para recoger en el local se hacen a traves de la web y la comida a domicilio a traves de GLOVO. Los sabados y domingos se hace Arroz del Senyoret por encargo. Los encargos en el numero de telefono 987799544.;42.59778, -5.570486
Soria;El Burgo de Osma;Ctra. N-122 , km 219;Área de Servicio Buquerín-Burgo de Osma;42/106;cafetería;Sí;no;659908330;festeban@buquerin.es;;Comida casera para llevar de 7.00 A 23.00 horas.;41.574038, -3.111635
Salamanca;Salamanca;C/ Hoces del Duratón, 1;Hotel Salamanca Montalvo;37/1107;restaurante;Sí;no;923194040;reservas@hotelsalamancamontalvo.com;http://wwwhotelsalamancamontalvo.com;Comida internacional con toques de vanguardia. Arroces y paellas para llevar. Menú del día con múltiples opciones. Reservas: 923 194 040 o reservas@hotelsalamancamontalvo.com Horarios: de 13:00 a 15:30 h. y de 20:00 a 23:00 h. Se recomienda realizar el pedido con antelación.;40.940265, -5.668098
Salamanca;Salamanca;Calle Prior, 15;Bacoa Burger;37/4891;bar;Sí;si;923202836;;https://www.bacoaburger.com/restaurantes/;UNA CARTA DE HAMBURGUESAS PARA TODOS LOS GUSTOS La carta de hamburguesas de Bacoa incluye hamburguesas de todos los tipos. Desde hamburguesas de carne ecológica, pasando por hamburguesas de chuletón, pollo a la parrilla, veganas y vegetarianas. Nuestra carta también incluye variantes exóticas de hamburguesas. Por ejemplo, nuestra suculenta japonesa con salsa Teriyaki. O bien nuestra clásica hamburguesa vegetariana Veggiebean, de judía negra con pimiento asado y queso cremoso.;40.965025, -5.665818
Segovia;Segovia;C/ San Marcos, 30;San Marcos;40/164;restaurante;Sí;sí;921433649;nuriasanmarcos@gmail.com;https://sanmarcosrestaurante.com/;LLevamos desde 1955 ofreciendo los mejores platos de mar y tierra en Segovia. Podrán elegir entre nuestra variada carta con especialidad en mariscos, tanto para reservar y comer en nuestra terraza, como para encargar y recogerlo, o bien encargarlo y que se lo llevemos nosotros a su casa. Puenden encargarlo tanto llamando a nuestro teléfono como a través de GLOVO.;40.954421, -4.133096
